====================================================================================
                             RAISED FLOOR LAYOUT REPORT                             
====================================================================================
Generated on: 2025-11-17 18:50:17


------------------------------------------------------------------------------------
                                     TILES LIST                                     
------------------------------------------------------------------------------------
ID    | Center X (mm)     | Center Y (mm)     | Width (mm)     | Length (mm)    | Is Cut  
------------------------------------------------------------------------------------------
1     | 3898.54           | 1016.51           | 402.91         | 166.97         | Yes     
2     | 4400.00           | 892.19            | 600.00         | 415.62         | Yes     
3     | 5000.00           | 800.00            | 600.00         | 600.00         | Yes     
4     | 5600.00           | 832.13            | 600.00         | 535.73         | Yes     
5     | 6200.00           | 956.46            | 600.00         | 287.08         | Yes     
6     | 2600.00           | 1565.16           | 600.00         | 269.67         | Yes     
7     | 3200.00           | 1440.84           | 600.00         | 518.32         | Yes     
8     | 3800.00           | 1400.00           | 600.00         | 600.00         | Yes     
9     | 4400.00           | 1400.00           | 600.00         | 600.00         | No      
10    | 5000.00           | 1400.00           | 600.00         | 600.00         | No      
11    | 5600.00           | 1400.00           | 600.00         | 600.00         | No      
12    | 6200.00           | 1400.00           | 600.00         | 600.00         | No      
13    | 6800.00           | 1400.00           | 600.00         | 600.00         | Yes     
14    | 7400.00           | 1505.11           | 600.00         | 389.78         | Yes     
15    | 7870.28           | 1629.43           | 340.57         | 141.14         | Yes     
16    | 2000.00           | 2000.00           | 600.00         | 600.00         | Yes     
17    | 2600.00           | 2000.00           | 600.00         | 600.00         | No      
18    | 3200.00           | 2000.00           | 600.00         | 600.00         | No      
19    | 3800.00           | 2000.00           | 600.00         | 600.00         | No      
20    | 4400.00           | 2000.00           | 600.00         | 600.00         | No      
21    | 5000.00           | 2000.00           | 600.00         | 600.00         | No      
22    | 5600.00           | 2000.00           | 600.00         | 600.00         | No      
23    | 6200.00           | 2000.00           | 600.00         | 600.00         | No      
24    | 6800.00           | 2000.00           | 600.00         | 600.00         | No      
25    | 7400.00           | 2000.00           | 600.00         | 600.00         | No      
26    | 8000.00           | 2000.00           | 600.00         | 600.00         | Yes     
27    | 8455.43           | 2053.76           | 310.86         | 492.49         | Yes     
28    | 1565.16           | 2600.00           | 269.67         | 600.00         | Yes     
29    | 2000.00           | 2600.00           | 600.00         | 600.00         | No      
30    | 2600.00           | 2600.00           | 600.00         | 600.00         | No      
31    | 3200.00           | 2600.00           | 600.00         | 600.00         | No      
32    | 3800.00           | 2600.00           | 600.00         | 600.00         | No      
33    | 4400.00           | 2600.00           | 600.00         | 600.00         | No      
34    | 5000.00           | 2600.00           | 600.00         | 600.00         | No      
35    | 5600.00           | 2600.00           | 600.00         | 600.00         | No      
36    | 6200.00           | 2600.00           | 600.00         | 600.00         | No      
37    | 6800.00           | 2600.00           | 600.00         | 600.00         | No      
38    | 7400.00           | 2600.00           | 600.00         | 600.00         | No      
39    | 8000.00           | 2600.00           | 600.00         | 600.00         | No      
40    | 8579.75           | 2600.00           | 559.50         | 600.00         | Yes     
41    | 1440.84           | 3200.00           | 518.32         | 600.00         | Yes     
42    | 2000.00           | 3200.00           | 600.00         | 600.00         | No      
43    | 2600.00           | 3200.00           | 600.00         | 600.00         | No      
44    | 3200.00           | 3200.00           | 600.00         | 600.00         | No      
45    | 3800.00           | 3200.00           | 600.00         | 600.00         | No      
46    | 4400.00           | 3200.00           | 600.00         | 600.00         | No      
47    | 5000.00           | 3200.00           | 600.00         | 600.00         | No      
48    | 5600.00           | 3200.00           | 600.00         | 600.00         | No      
49    | 6200.00           | 3200.00           | 600.00         | 600.00         | No      
50    | 6800.00           | 3200.00           | 600.00         | 600.00         | No      
51    | 7400.00           | 3200.00           | 600.00         | 600.00         | No      
52    | 8000.00           | 3200.00           | 600.00         | 600.00         | No      
53    | 8600.00           | 3200.00           | 600.00         | 600.00         | Yes     
54    | 9004.08           | 3248.86           | 208.15         | 502.28         | Yes     
55    | 1016.51           | 3898.54           | 166.97         | 402.91         | Yes     
56    | 1400.00           | 3800.00           | 600.00         | 600.00         | Yes     
57    | 2000.00           | 3800.00           | 600.00         | 600.00         | No      
58    | 2600.00           | 3800.00           | 600.00         | 600.00         | No      
59    | 3200.00           | 3800.00           | 600.00         | 600.00         | No      
60    | 3800.00           | 3800.00           | 600.00         | 600.00         | No      
61    | 4400.00           | 3800.00           | 600.00         | 600.00         | No      
62    | 5000.00           | 3800.00           | 600.00         | 600.00         | No      
63    | 5600.00           | 3800.00           | 600.00         | 600.00         | No      
64    | 6200.00           | 3800.00           | 600.00         | 600.00         | No      
65    | 6800.00           | 3800.00           | 600.00         | 600.00         | No      
66    | 7400.00           | 3800.00           | 600.00         | 600.00         | No      
67    | 8000.00           | 3800.00           | 600.00         | 600.00         | No      
68    | 8600.00           | 3800.00           | 600.00         | 600.00         | No      
69    | 9128.40           | 3800.00           | 456.80         | 600.00         | Yes     
70    | 892.19            | 4400.00           | 415.62         | 600.00         | Yes     
71    | 1400.00           | 4400.00           | 600.00         | 600.00         | No      
72    | 2000.00           | 4400.00           | 600.00         | 600.00         | No      
73    | 2600.00           | 4400.00           | 600.00         | 600.00         | No      
74    | 3200.00           | 4400.00           | 600.00         | 600.00         | No      
75    | 3800.00           | 4400.00           | 600.00         | 600.00         | No      
76    | 4400.00           | 4400.00           | 600.00         | 600.00         | No      
77    | 5000.00           | 4400.00           | 600.00         | 600.00         | No      
78    | 5600.00           | 4400.00           | 600.00         | 600.00         | No      
79    | 6200.00           | 4400.00           | 600.00         | 600.00         | No      
80    | 6800.00           | 4400.00           | 600.00         | 600.00         | No      
81    | 7400.00           | 4400.00           | 600.00         | 600.00         | No      
82    | 8000.00           | 4400.00           | 600.00         | 600.00         | No      
83    | 8600.00           | 4400.00           | 600.00         | 600.00         | No      
84    | 9200.00           | 4400.00           | 600.00         | 600.00         | Yes     
85    | 9552.73           | 4572.77           | 105.45         | 254.46         | Yes     
86    | 800.00            | 5000.00           | 600.00         | 600.00         | Yes     
87    | 1400.00           | 5000.00           | 600.00         | 600.00         | No      
88    | 2000.00           | 5000.00           | 600.00         | 600.00         | No      
89    | 2600.00           | 5000.00           | 600.00         | 600.00         | No      
90    | 3200.00           | 5000.00           | 600.00         | 600.00         | No      
91    | 3800.00           | 5000.00           | 600.00         | 600.00         | No      
92    | 4400.00           | 5000.00           | 600.00         | 600.00         | No      
93    | 5000.00           | 5000.00           | 600.00         | 600.00         | No      
94    | 5600.00           | 5000.00           | 600.00         | 600.00         | No      
95    | 6200.00           | 5000.00           | 600.00         | 600.00         | No      
96    | 6800.00           | 5000.00           | 600.00         | 600.00         | No      
97    | 7400.00           | 5000.00           | 600.00         | 600.00         | No      
98    | 8000.00           | 5000.00           | 600.00         | 600.00         | No      
99    | 8600.00           | 5000.00           | 600.00         | 600.00         | No      
100   | 9200.00           | 5000.00           | 600.00         | 600.00         | No      
101   | 9644.92           | 5000.00           | 289.83         | 600.00         | Yes     
102   | 832.13            | 5600.00           | 535.73         | 600.00         | Yes     
103   | 1400.00           | 5600.00           | 600.00         | 600.00         | No      
104   | 2000.00           | 5600.00           | 600.00         | 600.00         | No      
105   | 2600.00           | 5600.00           | 600.00         | 600.00         | No      
106   | 3200.00           | 5600.00           | 600.00         | 600.00         | No      
107   | 3800.00           | 5600.00           | 600.00         | 600.00         | No      
108   | 4400.00           | 5600.00           | 600.00         | 600.00         | No      
109   | 5000.00           | 5600.00           | 600.00         | 600.00         | No      
110   | 5600.00           | 5600.00           | 600.00         | 600.00         | No      
111   | 6200.00           | 5600.00           | 600.00         | 600.00         | No      
112   | 6800.00           | 5600.00           | 600.00         | 600.00         | No      
113   | 7400.00           | 5600.00           | 600.00         | 600.00         | No      
